flag=1 data=42
Iteration 400: flag=1, data=42
Iteration 401: flag=1, data=42
Iteration 402: flag=1, data=42
Iteration 403: flag=1, data=42
Iteration 404: flag=1, data=42
Iteration 405: flag=1, data=42
Iteration 406: flag=1, data=42
Iteration 407: flag=1, data=42
Iteration 408: flag=1, data=42
Iteration 409: flag=1, data=42
Iteration 410: flag=1, data=42
Iteration 411: flag=1, data=42
Iteration 412: flag=1, data=42
Iteration 413: flag=1, data=42
Iteration 414: flag=1, data=42
Iteration 415: flag=1, data=42
Iteration 416: flag=1, data=42
Iteration 417: flag=1, data=42
Iteration 418: flag=1, data=42
Iteration 419: flag=1, data=42
Iteration 420: flag=1, data=42
Iteration 421: flag=1, data=42
Iteration 422: flag=1, data=42
Iteration 423: flag=1, data=42
Iteration 424: flag=1, data=42
Iteration 425: flag=1, data=42
Iteration 426: flag=1, data=42
Iteration 427: flag=1, data=42
Iteration 428: flag=1, data=42
Iteration 429: flag=1, data=42
Iteration 430: flag=1, data=42
Iteration 431: flag=1, data=42
Iteration 432: flag=1, data=42
Iteration 433: flag=1, data=42
Iteration 434: flag=1, data=42
Iteration 435: flag=1, data=42
Iteration 436: flag=1, data=42
Iteration 437: flag=1, data=42
Iteration 438: flag=1, data=42
Iteration 439: flag=1, data=42
Iteration 440: flag=1, data=42
Iteration 441: flag=1, data=42
Iteration 442: flag=1, data=42
Iteration 443: flag=1, data=42
Iteration 444: flag=1, data=42
Iteration 445: flag=1, data=42
Iteration 446: flag=1, data=42
Iteration 447: flag=1, data=42
Iteration 448: flag=1, data=42
Iteration 449: flag=1, data=42
Iteration 450: flag=1, data=42
Iteration 451: flag=1, data=42
Iteration 452: flag=1, data=42
Iteration 453: flag=1, data=42
Iteration 454: flag=1, data=42
Iteration 455: flag=1, data=42
Iteration 456: flag=1, data=42
Iteration 457: flag=1, data=42
Iteration 458: flag=1, data=42
Iteration 459: flag=1, data=42
Iteration 460: flag=1, data=42
Iteration 461: flag=1, data=42
Iteration 462: flag=1, data=42
Iteration 463: flag=1, data=42
Iteration 464: flag=1, data=42
Iteration 465: flag=1, data=42
Iteration 466: flag=1, data=42
Iteration 467: flag=1, data=42
Iteration 468: flag=1, data=42
Iteration 469: flag=1, data=42
Iteration 470: flag=1, data=42
Iteration 471: flag=1, data=42
Iteration 472: flag=1, data=42
Iteration 473: flag=1, data=42
Iteration 474: flag=1, data=42
Iteration 475: flag=1, data=42
Iteration 476: flag=1, data=42
Iteration 477: flag=1, data=42
Iteration 478: flag=1, data=42
Iteration 479: flag=1, data=42
Iteration 480: flag=1, data=42
Iteration 481: flag=1, data=42
Iteration 482: flag=1, data=42
Iteration 483: flag=1, data=42
Iteration 484: flag=1, data=42
Iteration 485: flag=1, data=42
Iteration 486: flag=1, data=42
Iteration 487: flag=1, data=42
Iteration 488: flag=1, data=42
Iteration 489: flag=1, data=42
